programId,level,location,exercise_count,count_within_tolerance_3,flag
front_lever,10,home,2,24,OK
front_lever,10,office,2,24,OK
front_lever,10,park,0,19,OK
front_lever,10,service,2,24,OK
front_lever,10,street,2,24,OK
front_lever,11,airport,2,17,OK
front_lever,11,gym,2,17,OK
front_lever,11,home,2,17,OK
front_lever,11,office,2,17,OK
front_lever,11,park,2,12,OK
front_lever,11,service,2,17,OK
front_lever,11,street,2,17,OK
front_lever,12,airport,2,12,OK
front_lever,12,gym,2,12,OK
front_lever,12,home,2,12,OK
front_lever,12,office,2,12,OK
front_lever,12,park,2,9,OK
front_lever,12,service,2,12,OK
front_lever,12,street,2,12,OK
front_lever,13,airport,3,9,OK
front_lever,13,gym,3,9,OK
front_lever,13,home,3,9,OK
front_lever,13,office,3,9,OK
front_lever,13,park,3,7,OK
front_lever,13,service,3,9,OK
front_lever,13,street,3,9,OK
full_body,1,airport,15,21,OK
full_body,1,gym,15,21,OK
full_body,1,home,15,21,OK
full_body,1,office,15,21,OK
full_body,1,park,14,19,OK
full_body,1,service,15,21,OK
full_body,1,street,15,21,OK
full_body,2,airport,6,21,OK
full_body,2,gym,6,21,OK
full_body,2,home,6,21,OK
full_body,2,office,6,21,OK
full_body,2,park,5,19,OK
full_body,2,service,6,21,OK
full_body,2,street,6,21,OK
handstand,1,airport,0,0,CLIFF
handstand,1,gym,0,0,CLIFF
handstand,1,home,0,0,CLIFF
handstand,1,office,0,0,CLIFF
handstand,1,park,0,0,CLIFF
handstand,1,service,0,0,CLIFF
handstand,1,street,0,0,CLIFF
handstand,2,airport,0,2,CLIFF
handstand,2,gym,0,2,CLIFF
handstand,2,home,0,2,CLIFF
handstand,2,office,0,2,CLIFF
handstand,2,park,0,2,CLIFF
handstand,2,service,0,2,CLIFF
handstand,2,street,0,2,CLIFF
handstand,3,airport,0,3,CLIFF
handstand,3,gym,0,3,CLIFF
handstand,3,home,0,3,CLIFF
handstand,3,office,0,3,CLIFF
handstand,3,park,0,3,CLIFF
handstand,3,service,0,3,CLIFF
handstand,3,street,0,3,CLIFF
handstand,4,airport,0,3,CLIFF
handstand,4,gym,0,3,CLIFF
handstand,4,home,0,3,CLIFF
handstand,4,office,0,3,CLIFF
handstand,4,park,0,3,CLIFF
handstand,4,service,0,3,CLIFF
handstand,4,street,0,3,CLIFF
handstand,5,airport,2,3,CLIFF
handstand,5,gym,2,3,CLIFF
handstand,5,home,2,3,CLIFF
handstand,5,office,2,3,CLIFF
handstand,5,park,2,3,CLIFF
handstand,5,service,2,3,CLIFF
handstand,5,street,2,3,CLIFF
handstand,6,airport,1,3,CLIFF
handstand,6,gym,1,3,CLIFF
handstand,6,home,1,3,CLIFF
handstand,6,office,1,3,CLIFF
handstand,6,park,1,3,CLIFF
handstand,6,service,1,3,CLIFF
handstand,6,street,1,3,CLIFF
handstand,7,airport,0,4,THIN
handstand,7,gym,0,4,THIN
handstand,7,home,0,4,THIN
handstand,7,office,0,4,THIN
handstand,7,park,0,4,THIN
handstand,7,service,0,4,THIN
handstand,7,street,0,4,THIN
handstand,8,airport,0,4,THIN
handstand,8,gym,0,4,THIN
handstand,8,home,0,4,THIN
handstand,8,office,0,4,THIN
handstand,8,park,0,4,THIN
handstand,8,service,0,4,THIN
handstand,8,street,0,4,THIN
handstand,9,airport,0,2,CLIFF
handstand,9,gym,0,2,CLIFF
handstand,9,home,0,2,CLIFF
handstand,9,office,0,2,CLIFF
handstand,9,park,0,2,CLIFF
handstand,9,service,0,2,CLIFF
handstand,9,street,0,2,CLIFF
handstand,10,airport,1,1,CLIFF
handstand,10,gym,1,1,CLIFF
handstand,10,home,1,1,CLIFF
handstand,10,office,1,1,CLIFF
handstand,10,park,1,1,CLIFF
handstand,10,service,1,1,CLIFF
handstand,10,street,1,1,CLIFF
handstand_pushup,1,airport,0,2,CLIFF
handstand_pushup,1,gym,0,2,CLIFF
handstand_pushup,1,home,0,2,CLIFF
handstand_pushup,1,office,0,2,CLIFF
handstand_pushup,1,park,0,1,CLIFF
handstand_pushup,1,service,0,2,CLIFF
handstand_pushup,1,street,0,2,CLIFF
handstand_pushup,2,airport,0,3,CLIFF
handstand_pushup,2,gym,0,3,CLIFF
handstand_pushup,2,home,0,3,CLIFF
handstand_pushup,2,office,0,3,CLIFF
handstand_pushup,2,park,0,2,CLIFF
handstand_pushup,2,service,0,3,CLIFF
handstand_pushup,2,street,0,3,CLIFF
handstand_pushup,3,airport,1,4,THIN
handstand_pushup,3,gym,1,4,THIN
handstand_pushup,3,home,1,4,THIN
handstand_pushup,3,office,1,4,THIN
handstand_pushup,3,park,1,3,CLIFF
handstand_pushup,3,service,1,4,THIN
handstand_pushup,3,street,1,4,THIN
handstand_pushup,4,airport,1,5,THIN
handstand_pushup,4,gym,1,5,THIN
handstand_pushup,4,home,1,5,THIN
handstand_pushup,4,office,1,5,THIN
handstand_pushup,4,park,0,3,CLIFF
handstand_pushup,4,service,1,5,THIN
handstand_pushup,4,street,1,5,THIN
handstand_pushup,5,airport,1,6,OK
handstand_pushup,5,gym,1,6,OK
handstand_pushup,5,home,1,6,OK
handstand_pushup,5,office,1,6,OK
handstand_pushup,5,park,1,4,THIN
handstand_pushup,5,service,1,6,OK
handstand_pushup,5,street,1,6,OK
handstand_pushup,6,airport,1,6,OK
handstand_pushup,6,gym,1,6,OK
handstand_pushup,6,home,1,6,OK
handstand_pushup,6,office,1,6,OK
handstand_pushup,6,park,1,4,THIN
handstand_pushup,6,service,1,6,OK
handstand_pushup,6,street,1,6,OK
handstand_pushup,7,airport,1,6,OK
handstand_pushup,7,gym,1,6,OK
handstand_pushup,7,home,1,6,OK
handstand_pushup,7,office,1,6,OK
handstand_pushup,7,park,0,4,THIN
handstand_pushup,7,service,1,6,OK
handstand_pushup,7,street,1,6,OK
handstand_pushup,8,airport,1,6,OK
handstand_pushup,8,gym,1,6,OK
handstand_pushup,8,home,1,6,OK
handstand_pushup,8,office,1,6,OK
handstand_pushup,8,park,1,5,THIN
handstand_pushup,8,service,1,6,OK
handstand_pushup,8,street,1,6,OK
handstand_pushup,9,airport,0,5,THIN
handstand_pushup,9,gym,0,5,THIN
handstand_pushup,9,home,0,5,THIN
handstand_pushup,9,office,0,5,THIN
handstand_pushup,9,park,0,4,THIN
handstand_pushup,9,service,0,5,THIN
handstand_pushup,9,street,0,5,THIN
handstand_pushup,10,airport,1,4,THIN
handstand_pushup,10,gym,1,4,THIN
handstand_pushup,10,home,1,4,THIN
handstand_pushup,10,office,1,4,THIN
handstand_pushup,10,park,1,3,CLIFF
handstand_pushup,10,service,1,4,THIN
handstand_pushup,10,street,1,4,THIN
handstand_pushup,11,airport,1,3,CLIFF
handstand_pushup,11,gym,1,3,CLIFF
handstand_pushup,11,home,1,3,CLIFF
handstand_pushup,11,office,1,3,CLIFF
handstand_pushup,11,park,1,3,CLIFF
handstand_pushup,11,service,1,3,CLIFF
handstand_pushup,11,street,1,3,CLIFF
human_flag,1,airport,0,2,CLIFF
human_flag,1,gym,1,3,CLIFF
human_flag,1,home,0,2,CLIFF
human_flag,1,office,0,2,CLIFF
human_flag,1,park,1,2,CLIFF
human_flag,1,service,0,2,CLIFF
human_flag,1,street,0,2,CLIFF
human_flag,2,airport,1,2,CLIFF
human_flag,2,gym,1,3,CLIFF
human_flag,2,home,1,2,CLIFF
human_flag,2,office,1,2,CLIFF
human_flag,2,park,0,2,CLIFF
human_flag,2,service,1,2,CLIFF
human_flag,2,street,1,2,CLIFF
human_flag,3,airport,1,2,CLIFF
human_flag,3,gym,1,3,CLIFF
human_flag,3,home,1,2,CLIFF
human_flag,3,office,1,2,CLIFF
human_flag,3,park,1,2,CLIFF
human_flag,3,service,1,2,CLIFF
human_flag,3,street,1,2,CLIFF
human_flag,4,airport,0,2,CLIFF
human_flag,4,gym,0,4,THIN
human_flag,4,home,0,2,CLIFF
human_flag,4,office,0,2,CLIFF
human_flag,4,park,0,3,CLIFF
human_flag,4,service,0,2,CLIFF
human_flag,4,street,0,2,CLIFF
