"שם (עברית)","id קנוני","category ב-DB","מסמך קיים?","ב-ASSUMED_HOME_GEAR?","requiredGearType בשיטות","בית","פארק","רחוב","חדר כושר","משרד","מס' שיטות","קונפליקטים","category נכון","מיקומים נכונים"
"כפיפת מרפקים - במכונה","kvjcqu6oj78pm4zm5afn","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"פולי עליון","maws21t1a3zetfpem8rt","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"פשיטת ברך בישיבה","mqaztn31swskgh2xjkv5","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"צעידה באוויר","ntgwwntszc9x3pxuuhtj","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"פרפר","orsbmgjuv72w0cgqldot","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"פרפר פשיטה","p55ra05ucveyiulz1ug5","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"סיבוב אגן במכונה","pg2oqbhtoqknaleinbrk","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"חתירה במכונה בישיבה","puosx0v6r7ohyzxhayjy","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"קיק בוקס","q0ko4neyqpmuiig7devf","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"לחיצת כתפיים","qf1wt03f8xmpc9oqz0ns","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"פשיטת מרפקים בישיבה - במכונה","qfp3ifowwpsoov6blpgf","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"לחיצת כתפיים בישיבה - במכונה","rs0emdr6yrxlhlnnhyf9","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"פרפר במכונה","sxulohgek02ndhjh7emx","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"שולחן","table","improvised","gear_definitions","","","","","","","","0","improvised אך חסר מ-ASSUMED_HOME_GEAR | 0 שיטות — פריט מת","",""
"","towel","","לא","כן","","","","","","","0","ASSUMED_HOME_GEAR ללא מסמך","",""
"חתירות ויד אחורית","tr6yxbye63lurlqatnkb","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"אופני ספינינג","vfuynolmjtv7jlli70rb","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"הרקולס דחיפה/משיכה","vynpuis2neeyzv8hvkat","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"","wall","","לא","כן","","","","","","","0","ASSUMED_HOME_GEAR ללא מסמך","",""
"חגורת משקל","weight_belt","weights","gear_definitions","","","","","","","","0","0 שיטות — פריט מת","",""
"מתקן משיכה עילי - משקולות","wvfyhz3kqmatpc5vsmtq","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"פשיטת ברך במכונה","xam0akawtzccxtbkqaim","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"לחיצת חזה בישיבה - במכונה","xn5lq1metoc9shom3lmt","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
"בוסו","ypzxlhamkjk8bs4h6db5","","gym_equipment","","","","","","","","0","gym_equipment ללא category | 0 שיטות — פריט מת","",""
